prompt_id,author,claude,gemini,gpt
repl-code-001,claude-opus-4.7,10.0000,9.4000,9.4000
repl-code-001,gemini-3.1-pro,6.2000,9.6000,4.2000
repl-code-001,gpt-5.5,8.9000,9.3000,8.8000
repl-code-001,kimi-k2.6,4.2000,9.0000,2.2000
repl-creative-001,claude-opus-4.7,9.7000,8.6000,10.0000
repl-creative-001,gemini-3.1-pro,9.2000,8.7000,9.2000
repl-creative-001,gpt-5.5,9.9000,9.2000,10.0000
repl-creative-001,kimi-k2.6,5.8000,8.5000,5.0000
repl-design-001,claude-opus-4.7,9.6000,9.8000,9.8000
repl-design-001,gemini-3.1-pro,8.7000,9.7000,9.0000
repl-design-001,gpt-5.5,8.1000,9.2000,9.0000
repl-design-001,kimi-k2.6,6.6000,9.2000,4.6000
repl-ethics-001,claude-opus-4.7,9.7000,9.0000,9.6000
repl-ethics-001,gemini-3.1-pro,8.3000,9.5000,8.0000
repl-ethics-001,gpt-5.5,8.5000,9.2000,9.0000
repl-ethics-001,kimi-k2.6,5.7000,9.1000,4.8000
repl-explain-001,claude-opus-4.7,9.1000,9.0000,9.6000
repl-explain-001,gemini-3.1-pro,8.3000,8.5000,9.4000
repl-explain-001,gpt-5.5,9.0000,9.6000,9.4000
repl-explain-001,kimi-k2.6,7.9000,9.2000,7.6000
repl-history-001,claude-opus-4.7,10.0000,9.0000,9.6000
repl-history-001,gemini-3.1-pro,9.0000,9.0000,8.4000
repl-history-001,gpt-5.5,8.8000,9.1000,9.4000
repl-history-001,kimi-k2.6,9.4000,9.2000,9.4000
repl-logic-001,claude-opus-4.7,8.8000,9.4000,9.4000
repl-logic-001,gemini-3.1-pro,9.0000,9.5000,8.4000
repl-logic-001,gpt-5.5,8.5000,9.3000,9.4000
repl-logic-001,kimi-k2.6,4.9000,8.1000,3.0000
repl-math-001,claude-opus-4.7,9.7000,9.7000,9.6000
repl-math-001,gemini-3.1-pro,9.3000,9.6000,9.2000
repl-math-001,gpt-5.5,9.3000,8.5000,9.6000
repl-math-001,kimi-k2.6,5.0000,8.9000,3.6000
repl-philosophy-001,claude-opus-4.7,9.3000,9.3000,8.8000
repl-philosophy-001,gemini-3.1-pro,8.7000,9.3000,7.2000
repl-philosophy-001,gpt-5.5,8.5000,8.9000,8.8000
repl-philosophy-001,kimi-k2.6,7.8000,9.2000,5.8000
repl-science-001,claude-opus-4.7,10.0000,9.6000,9.8000
repl-science-001,gemini-3.1-pro,8.8000,9.2000,9.0000
repl-science-001,gpt-5.5,8.9000,9.1000,9.0000
repl-science-001,kimi-k2.6,6.1000,9.4000,5.4000
